STR_DISP_XBOX_ROLE_HOLDCASTLE_FIVE,"Assault team soldier 4","Příslušník útočného týmu 4","Sturmtrupp-Soldat 4","Assault team soldier 4","Солдат штурмового отряда 4","Soldat 4 groupe assaut","Soldado 4 pelotón de asalto","Soldato 4 squadra d’assalto"
STR_DISP_XBOX_ROLE_HOLDCASTLE_SIX,"Assault team soldier 5","Příslušník útočného týmu 5","Sturmtrupp-Soldat 5","Assault team soldier 5","Солдат штурмового отряда 5","Soldat 5 groupe assaut","Soldado 5 pelotón de asalto","Soldato 5 squadra d’assalto"
STR_DISP_XBOX_ROLE_HOLDCASTLE_SEVEN,"Defender leader","Velitel obránců","Verteidigerführer","Defender leader","Командир защитников","Chef défense","Líder de defensa","Leader difesa"
STR_DISP_XBOX_ROLE_HOLDCASTLE_EIGHT,"Defender 1","Obránce 1","Verteidiger 1","Defender 1","Защитник 1","Défenseur 1","Defensa 1","Difensore 1"
STR_DISP_XBOX_ROLE_HOLDCASTLE_NINE,"Defender 2","Obránce 2","Verteidiger 2","Defender 2","Защитник 2","Défenseur 2","Defensa 2","Difensore 2"
STR_DISP_XBOX_ROLE_HOLDCASTLE_TEN,"Defender 3","Obránce 3","Verteidiger 3","Defender 3","Защитник 3","Défenseur 3","Defensa 3","Difensore 3"
STR_DISP_XBOX_ROLE_HOLDCASTLE_ELEVEN,"Assault team soldier 6","Příslušník útočného týmu 6","Sturmtrupp-Soldat 6","Assault team soldier 6","Солдат штурмового отряда 6","Soldat 6 groupe assaut","Soldado 6 pelotón de asalto","Soldato 6 squadra d’assalto"
STR_DISP_XBOX_ROLE_RTEDEN_ONE,"Alpha squad leader","Velitel oddílu (Alfa)","Alpha-Truppführer","Alpha squad leader","Командир отделения Альфа","Chef groupe Alpha","Líder pelotón Alpha","Caposquadra Alpha"
STR_DISP_XBOX_ROLE_RTEDEN_TWO,"Alpha squad machine gunner","Kulometčík (Alfa)","Alpha-Trupp-MG-Schütze","Alpha squad machine gunner","Пулеметчик отделения Альфа","Mitrailleur groupe Alpha","Ametrallador pelotón Alpha","Mitragliere squadra Alpha"
STR_DISP_XBOX_ROLE_RTEDEN_THREE,"Alpha squad LAW soldier","Raketometčík (Alfa)","Alpha-Trupp-LAW-Soldat","Alpha squad LAW soldier","Солдат с LAW отделения Альфа","Soldat LAW groupe Alpha","Soldado LAW pelotón Alpha","Soldato LAW squadra Alpha"
STR_DISP_XBOX_ROLE_RTEDEN_FOUR,"Bravo squad leader","Velitel oddílu (Bravo)","Bravo-Truppführer","Bravo squad leader","Командир отделения Браво","Chef groupe Bravo","Líder pelotón Bravo","Caposquadra Bravo"
STR_DISP_XBOX_ROLE_RTEDEN_FIVE,"Bravo squad machine gunner","Kulometčík (Bravo)","Bravo-Trupp-MG-Schütze","Bravo squad machine gunner","Пулеметчик отделения Браво","Mitrailleur groupe Bravo","Ametrallador pelotón Bravo","Mitragliere squadra Bravo"
STR_DISP_XBOX_ROLE_RTEDEN_SIX,"Bravo squad LAW soldier","Raketometčík (Bravo)","Bravo-Trupp-LAW-Soldat","Bravo squad LAW soldier","Солдат с LAW отделения Браво","Soldat LAW groupe Bravo","Soldado LAW pelotón Bravo","Soldato LAW squadra Bravo"
STR_DISP_XBOX_ROLE_RTEDEN_SEVEN,"Charlie squad leader","Velitel oddílu (Charlie)","Charlie-Truppführer","Charlie squad leader","Командир отделения Чарли","Chef groupe Charlie","Líder pelotón Charlie","Caposquadra Charlie"
STR_DISP_XBOX_ROLE_RTEDEN_EIGHT,"Charlie squad machine gunner","Kulometčík (Charlie)","Charlie-Trupp-MG-Schütze","Charlie squad machine gunner","Пулеметчик отделения Чарли","Mitrailleur groupe Charlie","Ametrallador pelotón Charlie","Mitragliere squadra Charlie"
STR_DISP_XBOX_ROLE_RTEDEN_NINE,"Charlie squad LAW soldier","Raketometčík (Charlie)","Charlie-Trupp-LAW-Soldat","Charlie squad LAW soldier","Солдат с LAW отделения Чарли","Soldat LAW groupe Charlie","Soldado LAW pelotón Charlie","Soldato LAW squadra Charlie"
STR_DISP_XBOX_ROLE_DFCAMEL_ONE,"Camel pilot 1","Pilot Camelu 1","Camel-Pilot 1","Camel pilot 1","Пилот биплана 1","Pilote 1 Camel","Piloto de Camel 1","Pilota Camel 1"
STR_DISP_XBOX_ROLE_DFCAMEL_TWO,"Camel pilot 2","Pilot Camelu 2","Camel-Pilot 2","Camel pilot 2","Пилот биплана 2","Pilote 2 Camel","Piloto de Camel 2","Pilota Camel 2"
STR_DISP_XBOX_ROLE_DFCAMEL_THREE,"Camel pilot 3","Pilot Camelu 3","Camel-Pilot 3","Camel pilot 3","Пилот биплана 3","Pilote 3 Camel","Piloto de Camel 3","Pilota Camel 3"
STR_DISP_XBOX_ROLE_DFCAMEL_FOUR,"Camel pilot 4","Pilot Camelu 4","Camel-Pilot 4","Camel pilot 4","Пилот биплана 4","Pilote 4 Camel","Piloto de Camel 4","Pilota Camel 4"
STR_DISP_XBOX_ROLE_HOLDCITY_ONE,"Assault team machine gunner","Kulometčík útočného tým","Sturmtrupp-MG-Schütze","Assault team machine gunner","Пулеметчик штурмового отряда","Mitrailleur groupe assaut","Ametrallador pelotón de asalto","Mitragliere squadra d’assalto"
STR_DISP_XBOX_ROLE_HOLDCITY_TWO,"Assault team LAW soldier","Raketometčík útočného týmu","Sturmtrupp-LAW-Soldat","Assault team LAW soldier","Солдат с LAW штурмового отряда","Soldat LAW groupe assaut","Soldado LAW pelotón de asalto","Soldato LAW squadra d’assalto"
STR_DISP_XBOX_ROLE_HOLDCITY_THREE,"Assault team sniper","Odstřelovač útočného týmu","Sturmtrupp-Scharfschütze","Assault team sniper","Снайпер штурмового отряда","Sniper groupe assaut","Francotirador pelotón de asalto","Cecchino squadra d’assalto"
STR_DISP_XBOX_ROLE_HOLDCITY_FOUR,"Defender tank crew","Obránci – posádka tanku","Verteidiger, Panzerbesatzung","Defender tank crew","Экипад танка защитников","Équipage char défense","Tripulación tanque de defensa","Equipaggio carro armato di difesa"
STR_DISP_XBOX_ROLE_HOLDCITY_FIVE,"Defender soldier","Obránce","Verteidiger-Soldat","Defender soldier","Солдат-защитник","Soldat défense","Soldado de defensa","Soldato difensore"
STR_DISP_XBOX_ROLE_HOLDCITY_SIX,"Defender machine gunner","Obránce – kulometčík","Verteidiger, MG-Schütze","Defender machine gunner","Защитник-пулеметчик","Mitrailleur défense","Ametrallador de defensa","Mitragliere difensore"
STR_DISP_XBOX_ROLE_CONQ_ONE,"Lead Abrams %s","Vedoucí Abrams %s","Führungs-Abrams %s","Lead Abrams %s","Лидер Абрамс %s","Abrams comm. %s","Abrams líder %s","Abrams di comando %s"
STR_DISP_XBOX_ROLE_CONQ_TWO,"Abrams 2 %s","Abrams 2 %s","Abrams 2 %s","Abrams 2 %s","Абрамс 2 %s","Abrams 2 %s","Abrams 2 %s","Abrams 2 %s"
STR_DISP_XBOX_ROLE_CONQ_THREE,"Abrams 3 %s","Abrams 3 %s","Abrams 3 %s","Abrams 3 %s","Абрамс 3 %s","Abrams 3 %s","Abrams 3 %s","Abrams 3 %s"
STR_DISP_XBOX_ROLE_COOP_ONE,"Alpha squad medic","Zdravotník (Alfa)","Alpha-Trupp-Sanitäter","Alpha squad medic","Медик отделения Альфа","Infirmier groupe Alpha","Paramédico pelotón Alpha","Medico squadra Alpha"
STR_DISP_XBOX_ROLE_COOP_TWO,"Bravo squad medic","Zdravotník (Bravo)","Bravo-Trupp-Sanitäter","Bravo squad medic","Медик отделения Браво","Infirmier groupe Bravo","Paramédico pelotón Bravo","Medico squadra Bravo"
STR_DISP_XBOX_ROLE_COOP_THREE,"Alpha squad Bradley %s","Bradley (Alfa) %s","Alpha-Trupp Bradley %s","Alpha squad Bradley %s","Брэдли отделения Альфа %s","Bradley groupe Alpha %s","Bradley pelotón Alpha %s","Bradley squadra Alpha %s"
STR_DISP_XBOX_ROLE_COOP_FOUR,"Bravo squad Bradley %s","Bradley (Bravo) %s","Bravo-Trupp Bradley %s","Bravo squad Bradley %s","Брэдли отделения Браво %s","Bradley groupe Bravo %s","Bradley pelotón Bravo %s","Bradley squadra Bravo %s"
STR_DISP_XBOX_ROLE_COOP_FIVE,"Alpha squad soldier 1","Voják (Alfa) 1","Alpha-Trupp-Soldat 1","Alpha squad soldier 1","Солдат 1 отделения Альфа","Soldat 1 groupe Alpha","Soldado 1 pelotón Alpha","Soldato 1 squadra Alpha"
STR_DISP_XBOX_ROLE_COOP_SIX,"Bravo squad soldier 1","Voják (Bravo) 1","Bravo-Trupp-Soldat 1","Bravo squad soldier 1","Солдат 1 отделения Браво","Soldat 1 groupe Bravo","Soldado 1 pelotón Bravo","Soldato 1 squadra Bravo"
STR_DISP_XBOX_ROLE_COOP_SEVEN,"Alpha squad soldier 2","Voják (Alfa) 2","Alpha-Trupp-Soldat 2","Alpha squad soldier 2","Солдат 2 отделения Альфа","Soldat 2 groupe Alpha","Soldado 2 pelotón Alpha","Soldato 2 squadra Alpha"
STR_DISP_XBOX_ROLE_COOP_EIGHT,"Bravo squad soldier 2","Voják (Bravo) 2","Bravo-Trupp-Soldat 2","Bravo squad soldier 2","Солдат 2 отделения Браво","Soldat 2 groupe Bravo","Soldado 2 pelotón Bravo","Soldato 2 squadra Bravo"
STR_DISP_XBOX_ROLE_WARCRY_ONE,"Sniper team leader, M21","Velitel týmu odstřelovačů, M21","Scharfschützenführer, M21","Sniper team leader, M21","Лидер команды снайперов с M21","Chef équipe snipers, M21","Líder pelotón francotirador, M21","Caposquadra cecchini, M21"
STR_DISP_XBOX_ROLE_WARCRY_TWO,"Sniper team backup, MP5","Záloha týmu odstřelovačů, MP5","Scharfschützen-Unterstützung, MP5","Sniper team backup, MP5","Поддержка команды снайперов, МП5","Sécurité sniper, MP5","Refuerzos pelotón francotirador, MP5","Squadra d’appoggio cecchini, MP5"
STR_DISP_XBOX_ROLE_WARCRY_THREE,"Alpha squad grenadier 1","Granátník (Alfa) 1","Alpha-Trupp-Grenadier 1","Alpha squad grenadier 1","Гранатометчик 1 отделения Альфа","Grenadier 1 groupe Alpha","Granadero pelotón Alpha 1","Granatiere 1 squadra Alpha"
STR_DISP_XBOX_ROLE_WARCRY_FOUR,"Alpha squad grenadier 2","Granátník (Alfa) 2","Alpha-Trupp-Grenadier 2","Alpha squad grenadier 2","Гранатометчик 2 отделения Альфа","Grenadier 2 groupe Alpha","Granadero pelotón Alpha 2","Granatiere 2 squadra Alpha"
STR_DISP_XBOX_ROLE_WARCRY_FIVE,"Alpha squad soldier, M16A2","Voják (Alfa), M16A2","Alpha-Trupp-Soldat, M16A2","Alpha squad soldier, M16A2","Солдат с M16A2 отделения Альфа","Soldat groupe Alpha, M16A2","Soldado pelotón Alpha, M16A2","Soldato squadra Alpha, M16A2"
STR_DISP_XBOX_ROLE_SOLDIER_ONEG,"Bandit 1, AK47","Bandita 1, AK47","Bandit 1, AK47","Bandit 1, AK47","Бандит 1 с AK47","Bandit 1, AK47","Bandido 1, AK47","Bandito 1, AK47"
STR_DISP_XBOX_ROLE_SOLDIER_TWOG,"Bandit 2, AK47","Bandita 2, AK47","Bandit 2, AK47","Bandit 2, AK47","Бандит 2 с AK47","Bandit 2, AK47","Bandido 2, AK47","Bandito 2, AK47"
STR_DISP_XBOX_ROLE_SOLDIER_THREEG,"Bandit 3, AK47","Bandita 3, AK47","Bandit 3, AK47","Bandit 3, AK47","Бандит 3 с AK47","Bandit 3, AK47","Bandido 3, AK47","Bandito 3, AK47"
STR_DISP_XBOX_ROLE_SOLDIER_FOURG,"Bandit 4, AK47","Bandita 4, AK47","Bandit 4, AK47","Bandit 4, AK47","Бандит 4 с AK47","Bandit 4, AK47","Bandido 4, AK47","Bandito 4, AK47"
STR_DISP_XBOX_ROLE_SOLDIER_FIVEG,"Bandit 5, AK47","Bandita 5, AK47","Bandit 5, AK47","Bandit 5, AK47","Бандит 5 с AK47","Bandit 5, AK47","Bandido 5, AK47","Bandito 5, AK47"
STR_DISP_XBOX_ROLE_SOLDIER_SIXG,"Bandit 6, AK47","Bandita 6, AK47","Bandit 6, AK47","Bandit 6, AK47","Бандит 6 с AK47","Bandit 6, AK47","Bandido 6, AK47","Bandito 6, AK47"
STR_DISP_XBOX_ROLE_SOLDIER_SEVENG,"Bandit 7, AK47","Bandita 7, AK47","Bandit 7, AK47","Bandit 7, AK47","Бандит 7 с AK47","Bandit 7, AK47","Bandido 7, AK47","Bandito 7, AK47"
STR_DISP_XBOX_ROLE_SOLDIER_EIGHTG,"Bandit 8, AK47","Bandita 8, AK47","Bandit 8, AK47","Bandit 8, AK47","Бандит 8 с AK47","Bandit 8, AK47","Bandido 8, AK47","Bandito 8, AK47"
STR_DISP_XBOX_ROLE_HUNTER1,"CIA Sniper","Odstřelovač CIA","CIA-Scharfschütze","CIA Sniper","Снайпер ЦРУ","Sniper CIA","Francotirador CIA","Cecchino CIA"
STR_DISP_XBOX_ROLE_HUNTER2,"Mine guard leader","Velitel důlní stráže","Minenkommando-Anführer","Mine guard leader","Командир охраны шахты","Chef garde mine","Líder guardia de mina","Leader guardia mine"
STR_DISP_XBOX_ROLE_HUNTER3,"Mine guard sergeant","Seržant důlní stráže","Minenkommando-Feldwebel","Mine guard sergeant","Сержант, охрана шахты","Sergent garde mine","Sargento guardia de mina","Sergente guardia mine"
STR_DISP_XBOX_ROLE_HUNTER4,"Mine guard soldier 1","Příslušník důlní stráže 1","Minenkommando-Soldat 1","Mine guard soldier 1","Охранник шахты 1","Soldat 1 garde mine","Soldado 1 guardia de mina","Soldato 1 guardia mine"
STR_DISP_XBOX_ROLE_HUNTER5,"Mine guard soldier 2","Příslušník důlní stráže 2","Minenkommando-Soldat 2","Mine guard soldier 2","Охранник шахты 2","Soldat 2 garde mine","Soldado 2 guardia de mina","Soldato 2 guardia mine"
STR_DISP_XBOX_ROLE_HUNTER6,"Mine guard soldier 3","Příslušník důlní stráže 3","Minenkommando-Soldat 3","Mine guard soldier 3","Охранник шахты 3","Soldat 3 garde mine","Soldado 3 guardia de mina","Soldato 3 guardia mine"
STR_DISP_XBOX_ROLE_SOLDIER_ONEG1,"Bandit 1","Bandita 1","Bandit 1","Bandit 1","Бандит 1","Bandit 1","Bandido 1","Bandito 1"
STR_DISP_XBOX_ROLE_SOLDIER_TWOG1,"Bandit 2","Bandita 2","Bandit 2","Bandit 2","Бандит 2","Bandit 2","Bandido 2","Bandito 2"
STR_DISP_XBOX_ROLE_SOLDIER_THREEG1,"Bandit 3","Bandita 3","Bandit 3","Bandit 3","Бандит 3","Bandit 3","Bandido 3","Bandito 3"
STR_DISP_XBOX_ROLE_SOLDIER_FOURG1,"Bandit 4","Bandita 4","Bandit 4","Bandit 4","Бандит 4","Bandit 4","Bandido 4","Bandito 4"
STR_DISP_XBOX_ROLE_SOLDIER_FIVEG1,"Bandit 5","Bandita 5","Bandit 5","Bandit 5","Бандит 5","Bandit 5","Bandido 5","Bandito 5"
STR_DISP_XBOX_ROLE_SOLDIER_SIXG1,"Bandit 6","Bandita 6","Bandit 6","Bandit 6","Бандит 6","Bandit 6","Bandido 6","Bandito 6"
STR_DISP_XBOX_ROLE_SOLDIER_SEVENG1,"Bandit 7","Bandita 7","Bandit 7","Bandit 7","Бандит 7","Bandit 7","Bandido 7","Bandito 7"
STR_DISP_XBOX_ROLE_SOLDIER_EIGHTG1,"Bandit 8","Bandita 8","Bandit 8","Bandit 8","Бандит 8","Bandit 8","Bandido 8","Bandito 8"
STR_DISP_XBOX_ROLE_SOLDIER_SWAMP5,"Soldier 5, AK74","Voják 5, AK74","Soldat 5, AK74","Soldier 5, AK74","Солдат 5 с AK74","Soldat 5, AK74","Soldado 5, AK74","Soldato 5, AK74"
STR_DISP_XBOX_ROLE_SOLDIER_SWAMP6,"Soldier 6, AK74","Voják 6, AK74","Soldat 6, AK74","Soldier 6, AK74","Солдат 6 с AK74","Soldat 6, AK74","Soldado 6, AK74","Soldato 6, AK74"
STR_DISP_XBOX_ROLE_SOLDIER_SWAMP7,"Soldier 7, AK74","Voják 7, AK74","Soldat 7, AK74","Soldier 7, AK74","Солдат 7 с AK74","Soldat 7, AK74","Soldado 7, AK74","Soldato 7, AK74"
STR_DISP_XBOX_ROLE_SOLDIER_SWAMP8,"Soldier 8, AK74","Voják 8, AK74","Soldat 8, AK74","Soldier 8, AK74","Солдат 8 с AK74","Soldat 8, AK74","Soldado 8, AK74","Soldato 8, AK74"
STR_XBOX_ROLE_SPECIAL_LEADER,"Special Force Leader","Velitel speciální jednotky","Anführer der Spezialkräfte","Special Force Leader","Командир спец. отряда","Chef forces spéciales","Líder de las fuerzas especiales","Leader forze speciali"
STR_XBOX_ROLE_SPECIAL_SOLDIER,"Special Soldier","Příslušník speciální jednotky","Soldat Spezialkräfte","Special Soldier","Спецназовец","Soldat FS","Soldado especial","Soldato FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER1,"Special Soldier 1","Příslušník speciální jednotky 1","Soldat Spezialkräfte 1","Special Soldier 1","Спецназовец 1","Soldat 1 FS","Soldado especial 1","Soldato 1 FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER2,"Special Soldier 2","Příslušník speciální jednotky 2","Soldat Spezialkräfte 2","Special Soldier 2","Спецназовец 2","Soldat 2 FS","Soldado especial 2","Soldato 2 FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER3,"Special Soldier 3","Příslušník speciální jednotky 3","Soldat Spezialkräfte 3","Special Soldier 3","Спецназовец 3","Soldat 3 FS","Soldado especial 3","Soldato 3 FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER4,"Special Soldier 4","Příslušník speciální jednotky 4","Soldat Spezialkräfte 4","Special Soldier 4","Спецназовец 4","Soldat 4 FS","Soldado especial 4","Soldato 4 FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER5,"Special Soldier 5","Příslušník speciální jednotky 5","Soldat Spezialkräfte 5","Special Soldier 5","Спецназовец 5","Soldat 5 FS","Soldado especial 5","Soldato 5 FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER6,"Special Soldier 6","Příslušník speciální jednotky 6","Soldat Spezialkräfte 6","Special Soldier 6","Спецназовец 6","Soldat 6 FS","Soldado especial 6","Soldato 6 FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER7,"Special Soldier 7","Příslušník speciální jednotky 7","Soldat Spezialkräfte 7","Special Soldier 7","Спецназовец 7","Soldat 7 FS","Soldado especial 7","Soldato 7 FS"
STR_XBOX_ROLE_SPECIAL_SOLDIER8,"Special Soldier 8","Příslušník speciální jednotky 8","Soldat Spezialkräfte 8","Special Soldier 8","Спецназовец 8","Soldat 8 FS","Soldado especial 8","Soldato 8 FS"
STR_XBOX_ROLE_BLACKOP_DAY1,"BlackOp Day 1","ČernáOp den 1","BlackOp Tag 1","BlackOp Day 1","Солдат особ. назн., день 1","Op. secrètes jour 1","OpNegra Día 1","Operaz. segrete giorno 1"
STR_XBOX_ROLE_BLACKOP_DAY2,"BlackOp Day 2","ČernáOp den 2","BlackOp Tag 2","BlackOp Day 2","Солдат особ. назн., день 2","Op. secrètes jour 2","OpNegra Día 2","Operaz. segrete giorno 2"
STR_XBOX_ROLE_BLACKOP_DAY3,"BlackOp Day 3","ČernáOp den 3","BlackOp Tag 3","BlackOp Day 3","Солдат особ. назн., день 3","Op. secrètes jour 3","OpNegra Día 3","Operaz. segrete giorno 3"
STR_XBOX_ROLE_BLACKOP_DAY4,"BlackOp Day 4","ČernáOp den 4","BlackOp Tag 4","BlackOp Day 4","Солдат особ. назн., день 4","Op. secrètes jour 4","OpNegra Día 4","Operaz. segrete giorno 4"
STR_XBOX_ROLE_BLACKOP_DAY5,"BlackOp Day 5","ČernáOp den 5","BlackOp Tag 5","BlackOp Day 5","Солдат особ. назн., день 5","Op. secrètes jour 5","OpNegra Día 5","Operaz. segrete giorno 5"
STR_XBOX_ROLE_BLACKOP_DAY6,"BlackOp Day 6","ČernáOp den 6","BlackOp Tag 6","BlackOp Day 6","Солдат особ. назн., день 6","Op. secrètes jour 6","OpNegra Día 6","Operaz. segrete giorno 6"
STR_XBOX_ROLE_BLACKOP_DAY7,"BlackOp Day 7","ČernáOp den 7","BlackOp Tag 7","BlackOp Day 7","Солдат особ. назн., день 7","Op. secrètes jour 7","OpNegra Día 7","Operaz. segrete giorno 7"
STR_XBOX_ROLE_BLACKOP_DAY8,"BlackOp Day 8","ČernáOp den 8","BlackOp Tag 8","BlackOp Day 8","Солдат особ. назн., день 8","Op. secrètes jour 8","OpNegra Día 8","Operaz. segrete giorno 8"
STR_XBOX_ROLE_BLACKOP1,"BlackOp 1","ČernáOp 1","BlackOp 1","BlackOp 1","Солдат особ. назн. 1","Op. secrètes 1","OpNegra 1","Operaz. segrete 1"
STR_XBOX_ROLE_BLACKOP2,"BlackOp 2","ČernáOp 2","BlackOp 2","BlackOp 2","Солдат особ. назн. 2","Op. secrètes 2","OpNegra 2","Operaz. segrete 2"
STR_XBOX_ROLE_BLACKOP3,"BlackOp 3","ČernáOp 3","BlackOp 3","BlackOp 3","Солдат особ. назн. 3","Op. secrètes 3","OpNegra 3","Operaz. segrete 3"
STR_XBOX_ROLE_BLACKOP4,"BlackOp 4","ČernáOp 4","BlackOp 4","BlackOp 4","Солдат особ. назн. 4","Op. secrètes 4","OpNegra 4","Operaz. segrete 4"
STR_XBOX_ROLE_BLACKOP5,"BlackOp 5","ČernáOp 5","BlackOp 5","BlackOp 5","Солдат особ. назн. 5","Op. secrètes 5","OpNegra 5","Operaz. segrete 5"
STR_XBOX_ROLE_BLACKOP6,"BlackOp 6","ČernáOp 6","BlackOp 6","BlackOp 6","Солдат особ. назн. 6","Op. secrètes 6","OpNegra 6","Operaz. segrete 6"
STR_XBOX_ROLE_BLACKOP7,"BlackOp 7","ČernáOp 7","BlackOp 7","BlackOp 7","Солдат особ. назн. 7","Op. secrètes 7","OpNegra 7","Operaz. segrete 7"
STR_XBOX_ROLE_BLACKOP8,"BlackOp 8","ČernáOp 8","BlackOp 8","BlackOp 8","Солдат особ. назн. 8","Op. secrètes 8","OpNegra 8","Operaz. segrete 8"
STR_XBOX_ROLE_OFFICER1,"Officer 1","Důstojník 1","Offizier 1","Officer 1","Офицер 1","Officier 1","Oficial 1","Ufficiale 1"
STR_XBOX_ROLE_OFFICER2,"Officer 2","Důstojník 2","Offizier 2","Officer 2","Офицер 2","Officier 2","Oficial 2","Ufficiale 2"
STR_XBOX_ROLE_OFFICER3,"Officer 3","Důstojník 3","Offizier 3","Officer 3","Офицер 3","Officier 3","Oficial 3","Ufficiale 3"
STR_XBOX_ROLE_OFFICER4,"Officer 4","Důstojník 4","Offizier 4","Officer 4","Офицер 4","Officier 4","Oficial 4","Ufficiale 4"
STR_XBOX_ROLE_OFFICER5,"Officer 5","Důstojník 5","Offizier 5","Officer 5","Офицер 5","Officier 5","Oficial 5","Ufficiale 5"
STR_XBOX_ROLE_OFFICER6,"Officer 6","Důstojník 6","Offizier 6","Officer 6","Офицер 6","Officier 6","Oficial 6","Ufficiale 6"
STR_XBOX_ROLE_OFFICER7,"Officer 7","Důstojník 7","Offizier 7","Officer 7","Офицер 7","Officier 7","Oficial 7","Ufficiale 7"
STR_XBOX_ROLE_OFFICER8,"Officer 8","Důstojník 8","Offizier 8","Officer 8","Офицер 8","Officier 8","Oficial 8","Ufficiale 8"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_ONE,"Soldier 1, Handgun","Voják 1, Pistole","Soldat 1, Handfeuerwaffe","Soldier 1, Handgun","Солда 1 с пистолетом","Soldat 1, arme de poing","Soldado 1, pistola de mano","Soldato 1, pistola"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_TWO,"Soldier 2, Handgun","Voják 2, Pistole","Soldat 2, Handfeuerwaffe","Soldier 2, Handgun","Солда 2 с пистолетом","Soldat 2, arme de poing","Soldado 2, pistola de mano","Soldato 2, pistola"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_THREE,"Soldier 3, Handgun","Voják 3, Pistole","Soldat 3, Handfeuerwaffe","Soldier 3, Handgun","Солда 3 с пистолетом","Soldat 3, arme de poing","Soldado 3, pistola de mano","Soldato 3, pistola"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_FOUR,"Soldier 4, Handgun","Voják 4, Pistole","Soldat 4, Handfeuerwaffe","Soldier 4, Handgun","Солда 4 с пистолетом","Soldat 4, arme de poing","Soldado 4, pistola de mano","Soldato 4, pistola"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_FIVE,"Soldier 5, Handgun","Voják 5, Pistole","Soldat 5, Handfeuerwaffe","Soldier 5, Handgun","Солда 5 с пистолетом","Soldat 5, arme de poing","Soldado 5, pistola de mano","Soldato 5, pistola"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_SIX,"Soldier 6, Handgun","Voják 6, Pistole","Soldat 6, Handfeuerwaffe","Soldier 6, Handgun","Солда 6 с пистолетом","Soldat 6, arme de poing","Soldado 6, pistola de mano","Soldato 6, pistola"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_SEVEN,"Soldier 7, Handgun","Voják 7, Pistole","Soldat 7, Handfeuerwaffe","Soldier 7, Handgun","Солда 7 с пистолетом","Soldat 7, arme de poing","Soldado 7, pistola de mano","Soldato 7, pistola"
STR_DISP_XBOX_ROLE_DOCK_BRUSH_EIGHT,"Soldier 8, Handgun","Voják 8, Pistole","Soldat 8, Handfeuerwaffe","Soldier 8, Handgun","Солда 8 с пистолетом","Soldat 8, arme de poing","Soldado 8, pistola de mano","Soldato 8, pistola"
STR_DISP_XBOX_ROLE_PILOT_DOWN_ONE,"Commando, rescue team","Komando, záchranný tým","Kommando, Rettungstrupp","Commando, rescue team","Командос","Commando, équipe sauvetage","Comandancia, rescatar pelotón","Commando, squadra di soccorso"
STR_DISP_XBOX_ROLE_PILOT_DOWN_TWO,"Spec Naz, recon team","Specnaz, průzkumný tým","Speznaz, Aufklärungsteam","Spec Naz, recon team","Спецназовец","Spetznaz, équipe reco","Spec Naz, pelotón recon.","Spetznaz, squadra di ricognizione"
STR_DISP_XBOX_ROLE_DOCK_BRUSHFF_ONE,"Woman in jeans","Žena v džínách","Frau in Jeans","Woman in jeans","Женщина в джинсах","Femme en jean","Mujer con vaqueros","Donna coi jeans"
STR_DISP_XBOX_ROLE_DOCK_BRUSHFF_TWO,"Blond woman","Blonďatá žena","Blonde Frau","Blond woman","Блондинка","Femme blonde","Mujer rubia","Donna bionda"
STR_DISP_XBOX_ROLE_DOCK_BRUSHFF_THREE,"Man in black jeans","Muž v černých džínách","Mann in schwarzen Jeans","Man in black jeans","Мужчина в черных джинсах","Homme en jean noir","Hombre con vaqueros negros","Uomo coi jeans neri"
STR_DISP_XBOX_ROLE_DOCK_BRUSHFF_FOUR,"Man in white shirt","Muž v bílém tričku","Mann in weißem Hemd","Man in white shirt","Мужчина в белой рубашке","Homme en chemise blanche","Hombre con camina blanca","Uomo con camicia bianca"
STR_DISP_XBOX_ROLE_DOCK_BRUSHFF_FIVE,"Jeans boy","Chlapec v džínách","Junge in Jeans","Jeans boy","Парень в джинсах","Garçon en jean","Chico con vaqueros","Ragazzo coi jeans"
STR_DISP_XBOX_ROLE_DOCK_BRUSHFF_SIX,"Bad guy","Zlosyn","Böser Mann","Bad guy","Плохиш","Sale type","Tipo malo","Tipo cattivo"
STR_DISP_XBOX_ROLE_DOCK_BRUSHFF_SEVEN,"Woman in navy T-shirt","Žena v námořnickém tričku","Frau in blauem T-Shirt","Woman in navy T-shirt","Женщина в армейской футболке","Femme en T-shirt bleu marine","Mujer con camiseta azul","Donna con maglietta blu"
